"Category","Price Close"
"May 06 2020",796.5
"May 07 2020",813.7
"May 10 2020",828.3
"May 11 2020",835.3
"May 12 2020",834.2
"May 13 2020",832.4
"May 14 2020",827
"May 17 2020",837
"May 18 2020",845.9
"May 19 2020",852.9
"May 20 2020",862.7
"May 21 2020",852.7
"May 24 2020",859
"May 25 2020",869.1
"May 26 2020",857.5
"May 27 2020",861.4
"May 28 2020",864.5
"May 31 2020",878.7
"Jun 01 2020",874.8
"Jun 02 2020",881.2
"Jun 03 2020",883.9
"Jun 04 2020",886.2
"Jun 07 2020",899.9
"Jun 08 2020",899.4
"Jun 09 2020",900
"Jun 10 2020",867.4
"Jun 11 2020",863.5
"Jun 14 2020",832.5
"Jun 15 2020",856.1
"Jun 16 2020",854.4
"Jun 17 2020",855.3
"Jun 18 2020",868.6
"Jun 21 2020",871.3
"Jun 22 2020",868.2
"Jun 23 2020",859.7
"Jun 24 2020",854.6
"Jun 25 2020",852
"Jun 28 2020",829.4
"Jun 29 2020",825.1
"Jun 30 2020",843.5
"Jul 01 2020",842.4
"Jul 02 2020",847.6
"Jul 05 2020",861.2
"Jul 06 2020",863.4
"Jul 07 2020",864.5
"Jul 08 2020",876.5
"Jul 09 2020",871.2
"Jul 12 2020",868.7
"Jul 13 2020",868.1
"Jul 14 2020",869.9
"Jul 15 2020",876.8
"Jul 16 2020",872
"Jul 19 2020",861.4
"Jul 20 2020",861.7
"Jul 21 2020",855.1
"Jul 22 2020",856.8
"Jul 23 2020",829.2
"Jul 26 2020",785.2
"Jul 27 2020",813.4
"Jul 28 2020",790.8
"Jul 29 2020",801.1
"Jul 30 2020",798.4
"Aug 02 2020",814.7
"Aug 03 2020",827.6
"Aug 04 2020",837.8
"Aug 05 2020",840
"Aug 06 2020",841.5
"Aug 09 2020",843.2
"Aug 10 2020",843.1
"Aug 11 2020",846.9
"Aug 12 2020",855.1
"Aug 13 2020",850.7
"Aug 16 2020",850.2
"Aug 17 2020",846.4
"Aug 18 2020",851.2
"Aug 19 2020",848.2
"Aug 20 2020",854.8
"Aug 23 2020",868.7
"Aug 24 2020",874.1
"Aug 25 2020",873.5
"Aug 26 2020",874.7
"Aug 27 2020",879
"Aug 30 2020",881.7
"Aug 31 2020",891.7
"Sep 02 2020",904
"Sep 03 2020",901.5
"Sep 06 2020",888.3
"Sep 07 2020",890.1
"Sep 08 2020",889.3
"Sep 09 2020",888.8
"Sep 10 2020",889
"Sep 13 2020",894.6
"Sep 14 2020",896.3
"Sep 15 2020",897.5
"Sep 16 2020",894
"Sep 17 2020",901
"Sep 20 2020",907.9
"Sep 21 2020",906.2
"Sep 22 2020",912.5
"Sep 23 2020",908.6
"Sep 24 2020",908.3
"Sep 27 2020",912.5
"Sep 28 2020",904
"Sep 29 2020",905.2
"Sep 30 2020",914.1
"Oct 01 2020",909.9
"Oct 04 2020",914.7
"Oct 05 2020",915.7
"Oct 06 2020",919.7
"Oct 07 2020",918.8
"Oct 08 2020",924
"Oct 11 2020",925.8
"Oct 12 2020",929.9
"Oct 13 2020",940.2
"Oct 14 2020",942.8
"Oct 15 2020",943.3
"Oct 18 2020",943.7
"Oct 19 2020",944.4
"Oct 20 2020",939
"Oct 21 2020",949.9
"Oct 22 2020",961.3
"Oct 25 2020",950.8
"Oct 26 2020",946.5
"Oct 27 2020",921.1
"Oct 28 2020",919.1
"Oct 29 2020",925.5
"Nov 01 2020",933.7
"Nov 02 2020",935.4
"Nov 03 2020",939.8
"Nov 04 2020",937.8
"Nov 05 2020",938.3
"Nov 08 2020",952
"Nov 09 2020",951.9
"Nov 10 2020",952.2
"Nov 11 2020",959.3
"Nov 12 2020",966.3
"Nov 15 2020",950.8
"Nov 16 2020",968.9
"Nov 17 2020",973.5
"Nov 18 2020",983.3
"Nov 19 2020",990
"Nov 22 2020",994.2
"Nov 23 2020",995.8
"Nov 24 2020",999.9
"Nov 25 2020",1006
"Nov 26 2020",1010.2
"Nov 29 2020",1003.1
"Nov 30 2020",1008.9
"Dec 01 2020",1014.3
"Dec 02 2020",1019.8
"Dec 03 2020",1021.5
"Dec 06 2020",1030
"Dec 07 2020",1029.3
"Dec 08 2020",1039.1
"Dec 09 2020",1030.9
"Dec 10 2020",1046
"Dec 13 2020",1064.1
"Dec 14 2020",1055.3
"Dec 15 2020",1067
"Dec 16 2020",1051.8
"Dec 17 2020",1067.5
"Dec 20 2020",1081.1
"Dec 21 2020",1083.5
"Dec 22 2020",1078.9
"Dec 23 2020",1067.5
"Dec 24 2020",1084.4
"Dec 27 2020",1091.3
"Dec 28 2020",1099.5
"Dec 29 2020",1097.5
"Dec 30 2020",1103.9
"Jan 03 2021",1120.5
"Jan 04 2021",1132.6
"Jan 05 2021",1143.2
"Jan 06 2021",1156.5
"Jan 07 2021",1167.7
"Jan 10 2021",1184.9
"Jan 11 2021",1192.3
"Jan 12 2021",1186.1
"Jan 13 2021",1187.4
"Jan 14 2021",1194.2
"Jan 17 2021",1191.9
"Jan 18 2021",1131
"Jan 19 2021",1134.7
"Jan 20 2021",1164.2
"Jan 21 2021",1166.8
"Jan 24 2021",1166.1
"Jan 25 2021",1136.1
"Jan 26 2021",1097.2
"Jan 27 2021",1023.9
"Jan 28 2021",1056.6
"Jan 31 2021",1035.5
"Feb 01 2021",1075.5
"Feb 02 2021",1111.3
"Feb 03 2021",1112.2
"Feb 04 2021",1126.9
"Feb 07 2021",1083.2
"Feb 08 2021",1114.9
"Feb 16 2021",1155.8
"Feb 17 2021",1174.4
"Feb 18 2021",1173.5
"Feb 21 2021",1175
"Feb 22 2021",1177.6
"Feb 23 2021",1162
"Feb 24 2021",1165.4
"Feb 25 2021",1168.5
"Feb 28 2021",1186.2
"Mar 01 2021",1186.6
"Mar 02 2021",1187
"Mar 03 2021",1168.5
"Mar 04 2021",1168.7
"Mar 07 2021",1168.3
"Mar 08 2021",1162
"Mar 09 2021",1170.1
"Mar 10 2021",1181.7
"Mar 11 2021",1181.6
"Mar 14 2021",1184.6
"Mar 15 2021",1179.9
"Mar 16 2021",1186.1
"Mar 17 2021",1200.9
"Mar 18 2021",1194.1
"Mar 21 2021",1194.4
"Mar 22 2021",1183.5
"Mar 23 2021",1161.8
"Mar 24 2021",1163.1
"Mar 25 2021",1162.2
"Mar 28 2021",1175.7
"Mar 29 2021",1186.4
"Mar 30 2021",1191.4
"Mar 31 2021",1216.1
"Apr 01 2021",1224.5
"Apr 04 2021",1236.1
"Apr 05 2021",1240
"Apr 06 2021",1242.4
"Apr 07 2021",1234.9
